Player,Drafter,Round
Ezekiel Elliott,Michael, Franchise
Julio Jones,Evan, Franchise
Le'Veon Bell,Will, Franchise
Alvin Kamara,Jacob, Franchise
David Johnson,Andrew, Franchise
Tom Brady,Kuuuuuby, Franchise
Leonard Fournette,Joe, Franchise
Todd Gurley II,Chris, Franchise
Saquon Barkley,Michael,1
Antonio Brown,Evan,1
Kareem Hunt,Will,1
DeAndre Hopkins,Jacob,1
A.J. Green,Andrew,1
Melvin Gordon,Kuuuuuby,1
Devonta Freeman,Joe,1
Odell Beckham Jr.,Chris,1
Michael Thomas,Chris,2
Davante Adams,Joe,2
Rob Gronkowski,Kuuuuuby,2
Dalvin Cook,Andrew,2
Joe Mixon,Jacob,2
Keenan Allen,Will,2
Christian McCaffrey,Evan,2
Jordan Howard,Michael,2
Marvin Jones Jr.,Michael,3
Mike Evans,Evan,3
T.Y. Hilton,Will,3
Adam Thielen,Jacob,3
Russell Wilson,Andrew,3
Doug Baldwin,Kuuuuuby,3
Drew Brees,Joe,3
Tyreek Hill,Chris,3
Derrick Henry,Chris,4
Travis Kelce,Joe,4
Stephen Gostkowski,Kuuuuuby,4
Jay Ajayi,Andrew,4
Zach Ertz,Jacob,4
Jerick McKinnon,Will,4
LeSean McCoy,Evan,4
Amari Cooper,Michael,4
Jared Goff,Michael,5
Larry Fitzgerald,Evan,5
Demaryius Thomas,Will,5
Allen Robinson,Jacob,5
Stefon Diggs,Andrew,5
Lamar Miller,Kuuuuuby,5
JuJu Smith-Schuster,Joe,5
Josh Gordon,Chris,5
Aaron Rodgers,Chris,6
Vikings D/ST,Joe,6
Emmanuel Sanders,Kuuuuuby,6
Will Fuller V,Andrew,6
Kenyan Drake,Jacob,6
Jarvis Landry,Will,6
Rashaad Penny,Evan,6
Chris Hogan,Michael,6
Kyle Rudolph,Michael,7
Jimmy Graham,Evan,7
Deshaun Watson,Will,7
Cam Newton,Jacob,7
Delanie Walker,Andrew,7
Jaguars D/ST,Kuuuuuby,7
Mark Ingram II,Joe,7
Evan Engram,Chris,7
Alex Collins,Chris,8
Jordy Nelson,Joe,8
Tevin Coleman,Kuuuuuby,8
Jamaal Williams,Andrew,8
Greg Olsen,Jacob,8
Dion Lewis,Will,8
Marshawn Lynch,Evan,8
Marquise Goodwin,Michael,8
Matt Ryan,Michael,9
Michael Crabtree,Evan,9
Royce Freeman,Will,9
Nick Chubb,Jacob,9
Jamison Crowder,Andrew,9
Kenny Stills,Kuuuuuby,9
Brandin Cooks,Joe,9
Kerryon Johnson,Chris,9
Golden Tate,Chris,10
Isaiah Crowell,Joe,10
Rex Burkhead,Kuuuuuby,10
Sebastian Janikowski,Andrew,10
Pierre Garcon,Jacob,10
Nelson Agholor,Will,10
Tarik Cohen,Evan,10
Adrian Peterson,Michael,10
Kelvin Benjamin,Michael,11
Robert Woods,Evan,11
Julian Edelman,Will,11
Calvin Ridley,Jacob,11
David Njoku,Andrew,11
Tyler Eifert,Kuuuuuby,11
Aaron Jones,Joe,11
Carson Wentz,Chris,11
Corey Davis,Chris,12
Devin Funchess,Joe,12
Randall Cobb,Kuuuuuby,12
Case Keenum,Andrew,12
Anthony Miller,Jacob,12
Jack Doyle,Will,12
Alshon Jeffery,Evan,12
Corey Clement,Michael,12
Lions D/ST,Michael,13
Ben Roethlisberger,Evan,13
Andrew Luck,Will,13
Marlon Mack,Jacob,13
Rishard Matthews,Andrew,13
Kirk Cousins,Kuuuuuby,13
Matthew Stafford,Joe,13
Jordan Reed,Chris,13
Greg Zuerlein,Chris,14
Matt Bryant,Joe,14
Eagles D/ST,Kuuuuuby,14
Rams D/ST,Andrew,14
Justin Tucker,Jacob,14
Saints D/ST,Will,14
Blair Walsh,Evan,14
Ka'imi Fairbairn,Michael,14
Cooper Kupp,Michael,15
Patriots D/ST,Evan,15
Jake Elliott,Will,15
Bears D/ST,Jacob,15
LeGarrette Blount,Andrew,15
Adam Vinatieri,Kuuuuuby,15
George Kittle,Joe,15
Texans D/ST,Chris,15