RANK, PLAYER
1, Le'Veon Bell
2, Todd Gurley II
3, David Johnson
4, Ezekiel Elliott
5, Antonio Brown
6, Saquon Barkley
7, Alvin Kamara
8, Julio Jones
9, DeAndre Hopkins
10, Odell Beckham Jr.
11, Kareem Hunt
12, Dalvin Cook
13, Keenan Allen
14, Leonard Fournette
15, Melvin Gordon
16, Michael Thomas
17, A.J. Green
18, Christian McCaffrey
19, Devonta Freeman
20, Davante Adams
21, Rob Gronkowski
22, Mike Evans
23, LeSean McCoy
24, Travis Kelce
25, Jerick McKinnon
26, Joe Mixon
27, Larry Fitzgerald
28, T.Y. Hilton
29, Adam Thielen
30, Stefon Diggs
31, Jordan Howard
32, Zach Ertz
33, Tyreek Hill
34, Demaryius Thomas
35, Doug Baldwin
36, Allen Robinson
37, Golden Tate
38, Amari Cooper
39, Josh Gordon
40, Jarvis Landry
41, Marvin Jones Jr.
42, Kenyan Drake
43, Alshon Jeffery
44, Brandin Cooks
45, Royce Freeman
46, Derrick Henry
47, Alex Collins
48, Jay Ajayi
49, Marshawn Lynch
50, Dion Lewis
51, Lamar Miller
52, Mark Ingram II
53, Chris Hogan
54, JuJu Smith-Schuster
55, Robert Woods
56, Michael Crabtree
57, Emmanuel Sanders
58, Aaron Rodgers
59, Tom Brady
60, Duke Johnson Jr.
61, Rex Burkhead
62, Isaiah Crowell
63, Tevin Coleman
64, Greg Olsen
65, Delanie Walker
66, Evan Engram
67, Corey Davis
68, Marquise Goodwin
69, Sammy Watkins
70, Randall Cobb
71, Devin Funchess
72, Pierre Garcon
73, Chris Thompson
74, Carlos Hyde
75, Jimmy Graham
76, Will Fuller V
77, Robby Anderson
78, Cam Newton
79, Carson Wentz
80, Russell Wilson
81, Deshaun Watson
82, Cooper Kupp
83, Jamison Crowder
84, Julian Edelman
85, Chris Carson
86, Tarik Cohen
87, Kerryon Johnson
88, Rashaad Penny
89, Ronald Jones II
90, Jordan Reed
91, Andrew Luck
92, Kelvin Benjamin
93, Sterling Shepard
94, Josh Doctson
95, DeVante Parker
96, Sony Michel
97, Jamaal Williams
98, James White
99, Peyton Barber
100, Kyle Rudolph
101, Jordy Nelson
102, Kenny Stills
103, Marqise Lee
104, Nelson Agholor
105, Allen Hurns
106, Paul Richardson
107, Kenny Golladay
108, Cameron Meredith
109, Mohamed Sanu
110, Tyler Lockett
111, Danny Amendola
112, Michael Gallup
113, DeSean Jackson
114, Rishard Matthews
115, DJ Moore
116, Ben Roethlisberger
117, Kirk Cousins
118, Jack Doyle
119, Trey Burton
120, David Njoku
121, Ty Montgomery
122, Giovani Bernard
123, Marlon Mack
124, Theo Riddick
125, Jordan Wilkins
126, Matthew Stafford
127, Drew Brees
128, Matt Ryan
129, Chris Godwin
130, John Ross
131, Calvin Ridley
132, James Washington
133, Patrick Mahomes
134, Philip Rivers
135, Jimmy Garoppolo
136, Alex Smith
137, John Brown
138, Anthony Miller
139, Courtland Sutton
140, Mike Williams
141, Dez Bryant
142, Adrian Peterson
143, Jeremy Hill
144, Devontae Booker
145, Charles Clay
146, Tyler Eifert
147, Aaron Jones
148, Doug Martin
149, Matt Breida
150, Marcus Mariota
151, Dak Prescott
152, Jared Goff
153, Jaguars D/ST
154, Bilal Powell
155, Latavius Murray
156, Corey Clement
157, Nyheim Hines
158, Mike Wallace
159, Keelan Cole
160, Ryan Grant
161, George Kittle
162, Donte Moncrief
163, Tyrod Taylor
164, C.J. Anderson
165, Kenneth Dixon
166, Quincy Enunwa
167, Christian Kirk
168, Cameron Brate
169, Benjamin Watson
170, Eagles D/ST
171, Rams D/ST
172, Vikings D/ST
173, Texans D/ST
174, Ravens D/ST
175, Greg Zuerlein
176, Stephen Gostkowski
177, Justin Tucker
178, Patriots D/ST
179, Chargers D/ST
180, Broncos D/ST
181, Saints D/ST
182, Titans D/ST
183, Panthers D/ST
184, Matt Bryant
185, Wil Lutz
186, Chris Boswell
187, Robbie Gould
188, Jake Elliott
189, Matt Prater
190, Harrison Butker
191, Adam Vinatieri
192, Graham Gano
193, Nick Chubb
194, Rob Kelley
195, Samaje Perine
196, Austin Seferian-Jenkins
197, Vance McDonald
198, Austin Hooper
199, Christine Michael
200, Javorius Allen
201, LeGarrette Blount
202, Darren Sproles
203, Chase Edmonds
204, Chris Ivory
205, Austin Ekeler
206, T.J. Yeldon
207, Spencer Ware
208, Elijah McGuire
209, James Conner
210, O.J. Howard
211, Jared Cook
212, Mitchell Trubisky
213, Taywan Taylor
214, Eric Decker
215, Cole Beasley
216, Ted Ginn Jr.
217, Martavis Bryant
218, Tyler Boyd
219, Andy Dalton
220, Ryan Tannehill
221, Redskins D/ST
222, Cardinals D/ST
223, Dan Bailey
224, Ryan Succop
225, Albert Wilson
226, Willie Snead
227, Tyrell Williams
228, Terrance Williams
229, Brandon Marshall
230, Travis Benjamin
231, Corey Coleman
232, Jermaine Kearse
233, Geronimo Allison
234, Terrelle Pryor Sr.
235, D'Onta Foreman
236, Frank Gore
237, Jonathan Stewart
238, Wayne Gallman
239, Rod Smith
240, John Kelly
241, Jonathan Williams
242, Alfred Blue
243, Eli Manning
244, Derek Carr
245, Jameis Winston
246, Eric Ebron
247, Mike Gesicki
248, Ricky Seals-Jones
249, Hayden Hurst
250, Corey Grant
251, Antonio Callaway
252, J'Mon Moore
253, Falcons D/ST
254, Cowboys D/ST
255, Daniel Carlson
256, Mason Crosby
257, Ryan Griffin
258, Blake Jarwin
259, Jake Butt
260, Marquez Valdes-Scantling
261, Equanimeous St. Brown
262, Adam Humphries
263, Zay Jones
264, Tavon Austin
265, C.J. Prosise
266, Case Keenum
267, Blake Bortles
268, Joe Flacco
269, Sam Darnold
270, Sam Bradford
271, Ryan Switzer
272, Taylor Gabriel
273, Curtis Samuel
274, Trent Taylor
275, Laquon Treadwell
276, Mark Walton
277, Jacquizz Rodgers
278, Joe Williams
279, De'Angelo Henderson
280, Kalen Ballage
281, Damien Williams
282, T.J. Logan
283, Jalen Richard
284, J.J. Nelson
285, Packers D/ST
286, Bears D/ST
287, Josh Lambo
288, Dustin Hopkins
289, Virgil Green
290, Vernon Davis
291, Tyler Kroft
292, Antonio Gates
293, Gerald Everett
294, Keke Coutee
295, D.J. Chark
296, Josh Allen
297, Lions D/ST
298, Bengals D/ST
299, Chiefs D/ST
300, Raiders D/ST